January,February,March,April,May,June,July,August,September,October,November,December
0.0127198,0.024269,0.0588417,0.521136,0.0313541,2.02E-05,3.95E-02,4.93E-02,3.56E-05,3.77E-05,0.00871674,0.602481
0.059297,0.126977,2.29E-01,3.29E-02,8.70E-02,0.0854704,3.00E-02,1.92E-05,0.036704,1.10E-01,2.15E-01,0.000202866
5.36E-05,6.15E-03,2.76E-05,0.000126338,0.00642275,1.72E-02,0.226833,0.0834539,0.0509345,0.0304473,0.153553,3.45E-01
1.58E-01,0.0815574,2.61E-03,4.19E-02,3.01E-05,0.118837,2.28E-05,1.75E-05,1.01E-01,1.90E-01,7.74E-05,0.018978
0.0024588,0.0487972,0.142679,8.40E-02,3.79E-02,0.587004,2.09E-01,0.035334,8.19E-02,2.13E-01,1.10E-04,0.0392661
2.31E-04,0.132259,0.0666001,3.83E-05,1.04E-05,8.62E-06,1.05E-01,2.25E-01,0.14413,1.43E-06,0.0583831,0.107571
0.060807,2.26E-01,8.80E-05,0.0102174,3.15E-05,0.134808,0.0112792,0.0838833,1.38E-01,0.341179,0.220811,1.42E-01
2.11E-02,0.509693,3.78E-05,0.0733556,3.07E-05,0.114682,0.0982251,1.02E-01,6.31E-05,1.01E-01,4.76E-06,2.30E-02
1.24E-01,5.84E-05,8.33E-06,3.71E-02,1.96E-05,9.52E-02,7.46E-02,2.05E-01,3.59E-02,1.44E-05,4.77E-02,2.40E-02
3.84E-02,0.61616,0.000192407,0.0913815,0.0124033,2.71E-05,0.14705,4.44E-01,7.77E-05,1.12E-01,0.00158304,7.56E-05
1.19E-01,1.35E-01,0.0310695,0.131618,0.00744888,1.14E-05,0.132368,0.00468701,0.0730287,6.62E-02,0.145194,0.0937857
4.31E-02,1.29E-01,9.27E-03,0.0456056,8.20E-02,0.0484109,5.77E-02,2.30E-05,8.94E-06,0.0471554,0.115222,0.000152337
1.37E-04,9.90E-05,0.0850608,6.92E-02,9.65E-02,0.13966,0.0878459,0.106387,0.115167,0.180108,0.115065,5.31E-02
2.07E-03,2.83E-02,1.26E-01,0.0183236,0.152388,2.11E-05,1.61E-05,1.42E-01,0.0602973,0.13984,0.0894551,0.0718474
1.41E-01,0.0356466,0.00874376,3.48E-02,0.0100928,2.55E-05,3.07E-05,3.59E-02,0.0270003,2.53E-01,2.26E-02,0.0646972
2.86E-02,7.32E-02,0.193551,1.89E-05,1.12E-01,0.0728446,3.67E-05,0.0810873,0.0298142,3.24E-05,0.107711,0.00729969
6.75E-02,0.114029,0.0190475,0.195086,7.26E-01,0.0133033,1.48E-02,1.17E-01,0.134201,3.02E-05,1.06E-01,0.0258315
0.136256,5.34E-05,0.000470228,0.133641,0.124736,2.22E-05,2.89E-02,1.07E-05,0.135777,8.15E-02,6.41E-06,0.000337791
0.182819,0.0780863,6.78E-06,2.15E-05,5.93E-05,0.0125416,0.0881447,0.102268,0.118849,0.0996244,0.0199835,0.200828
3.91E-05,2.09E-01,3.89E-05,1.24E-01,8.10E-01,0.0520197,4.75E-02,0.131267,0.0376535,1.24E-01,0.199981,1.27E-01
1.17E-01,0.000106643,0.0565904,3.20E-05,0.229392,0.0863249,0.0866455,0.145354,6.19E-03,6.58E-02,1.15E-01,0.0942806
2.39E-02,0.0471179,0.0464287,0.185397,2.66E-02,9.25E-06,8.41E-02,2.56E-02,6.30E-03,5.69E-05,0.0737314,0.168241
0.0883592,0.211584,3.71E-03,0.953044,0.87962,0.165609,2.43E-01,8.35E-02,0.11659,0.0110758,0.131288,0.138861
1.24E-04,0.221464,0.0896179,2.94E-02,0.0533689,1.50E-03,2.64E-05,0.00392417,3.52E-06,0.0024244,1.18E-05,0.180455
1.36E-01,1.44E-05,1.13E-01,0.0356597,2.36E-05,0.0641131,0.0238033,0.0055893,3.64E-06,0.097952,0.00270684,0.124154
0.064595,0.0953022,5.47E-06,8.81E-01,4.28E-05,0.245333,4.90E-06,0.127958,7.26E-02,0.106243,2.15E-02,0.12019
1.19E-04,7.13E-01,0.0154243,0.0571994,0.106484,0.0648062,4.59E-02,1.18E-01,1.92E-05,9.42E-05,0.14349,2.52E-05
