"","October","November","December","January","February","March","April","May","June","July","August","September"
"8116",872639.762161522,1124896.38236786,937743.144752243,979890.877693169,934743.170554772,1170613.02563356,1022959.53741317,1077634.3525273,974225.563937317,776091.775286532,753576.619397988,1088898.24757613
"8117",673673.09609446,889157.070705288,602728.701041294,825346.751612298,890925.011765101,968959.141693432,740848.055456373,502122.075904954,896622.822393135,740093.206887979,672182.77245291,1016257.53536668
"8118",535657.242799847,564984.309204191,453964.370394246,464102.709316604,319346.52812152,471743.564512683,459533.373523389,483550.823118275,517878.763906551,352446.27722233,575760.660194545,443561.088218334
"8119",362513.920057685,301252.672769957,487824.630054713,331240.223698996,336376.635357722,393824.976425842,288504.945534585,543189.43357095,302109.465633472,262033.686798735,297205.856998107,266865.73047357
"8120",201899.802792188,150728.37439877,201229.44608188,221760.836596611,217532.335381815,168432.652563699,154777.559646365,221834.014430261,169202.874708179,190981.970241685,187700.187786301,187506.80704285
"8121",125529.485285094,140521.532182948,90722.5991811045,97768.4945467522,143220.410819539,172062.058635778,102961.142346818,142363.181578864,234279.40548147,110278.781391338,83971.7242862972,97003.9649429014
"8122",73159.6554221202,46179.3587760162,103892.238658725,90084.3894634344,121994.297522484,66931.8967728123,52864.6271590075,83535.8621863117,71664.6108047831,65035.9962821435,99604.8202050714,99079.1183113831
"8123",96136.6342947491,166647.195730164,90249.1745079713,225174.912807351,121610.975423808,278955.112130332,91165.8545633102,280964.809609055,73358.4249987553,84565.4138063657,135475.017224433,241900.253702804
"8124",65208.2587792702,68820.5438547365,79322.7866493777,87413.9244730985,170384.215372688,75972.6376236384,98039.6866761826,56626.915373413,98370.2908056511,75990.8363578429,148869.749885389,73479.7614749076
"8125",496991.284512975,235318.133873687,272149.436711807,516321.770533518,216092.869385686,222991.351923134,410995.205209468,316645.850616197,444915.678587355,647477.806956204,304298.126504504,386213.725750026
"8126",1078444.82476586,907802.984494966,1401611.82566842,579899.510639402,959603.743397058,644564.465011739,899671.194019808,1246193.97722467,1157542.87718591,979009.095811222,1105648.10660711,593697.7610575
"8127",1186670.59430636,690757.328513412,902112.200454496,862194.100848047,1108371.46799944,1638914.70782418,1231773.72679941,951131.816463529,705496.291688112,1131831.73377598,884424.073575441,1199999.18415073
"8128",1054333.5732116,893274.440602425,873052.926776615,1194842.65141658,1639225.18521152,1034179.82050231,835239.869700072,1141372.00054257,1077589.3890594,1041601.69871494,1187964.96809705,1104979.41409292
"8129",925532.06407327,976287.400611937,707862.428191962,459911.854666978,630954.642259303,825262.816207149,662589.79774286,732708.921322629,756389.916258106,885408.194847813,854189.833627755,657061.843748543
"8130",431950.129854696,599234.914770948,447406.459430282,382976.390002745,375621.009780308,486536.98812474,422017.627625529,496127.339695556,602458.496832607,379767.91163957,488201.950623095,311438.384423266
"8131",193185.868241898,305770.086049857,271510.488396152,215296.256048239,245500.783762011,354642.498513522,385404.124587608,292813.034632868,267337.979629287,339981.010005913,244498.173715514,212440.652961829
"8132",263807.115823674,198447.232506533,209992.030573488,132997.50971941,176622.71779144,298791.930387874,333783.625580039,221810.178928666,183443.597289054,203895.225368246,203212.402586343,180967.65108754
"8133",136894.040965541,158423.472674293,216556.675549336,180056.090239671,109476.197839679,114015.845782252,146892.059717957,97586.1155235054,126530.777641434,129633.44692754,159089.464982511,160041.830176095
"8134",97222.3799528028,99409.5907538966,91898.5911585224,55943.1923522253,58986.4684365104,63732.3456588573,65194.0353918008,106124.523410453,84538.6460006689,98101.0226367724,74358.7679273409,120336.570874546
"8135",157253.320918189,119938.598918851,168596.953514641,302244.735153432,93863.6117387756,258603.855041683,177037.413976062,113565.214307913,217079.948823707,102861.143603385,61590.3193374208,120413.656277175
"8136",177239.766609667,176506.10971142,83225.84868557,146622.937337305,87718.132696518,113809.916407924,74978.3988034341,152460.736190935,77653.5190363026,115363.76797395,69548.6304090649,94695.8574983423
"8137",438439.005684463,453179.224504204,487946.055477745,490910.020798081,270333.40766183,334067.652616961,478440.555120369,420100.990314229,314977.115386195,599402.353526373,369565.032584691,678354.617683774
"8138",629698.746713366,833561.841397502,584435.796068897,826337.040684211,1058774.01614689,662252.878170428,597658.361441593,880474.60955357,814936.736529251,936062.552046743,759368.157821134,826397.29908853
"8139",916140.902258615,904164.50195141,981330.45020358,801987.047919984,1520844.72521242,1363451.97245187,844157.347372677,1133017.50108598,1036370.00396845,875330.91803157,1145991.84319034,849434.538656785
"8140",1135969.27608485,1179821.04359522,1114234.46030629,860776.942637148,846699.132659491,1203027.05856849,1032678.45113644,694282.804075151,1164790.55709967,1048067.82528819,1275016.57319432,999572.129971575
